[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[82, 84]; [0.95, 1]: 0 / 0

[84, 86]; [-1, -0.95]: 0 / 0
[84, 86]; [-0.95, -0.9]: 0 / 0
[84, 86]; [-0.9, -0.85]: 108 / 1124
[84, 86]; [-0.85, -0.8]: 271 / 2733
[84, 86]; [-0.8, -0.75]: 276 / 2770
[84, 86]; [-0.75, -0.7]: 273 / 2555
[84, 86]; [-0.7, -0.65]: 267 / 2569
[84, 86]; [-0.65, -0.6]: 258 / 2447
[84, 86]; [-0.6, -0.55]: 268 / 2418
[84, 86]; [-0.55, -0.5]: 277 / 2364
[84, 86]; [-0.5, -0.45]: 259 / 2173
[84, 86]; [-0.45, -0.4]: 254 / 2207
[84, 86]; [-0.4, -0.35]: 242 / 2179
[84, 86]; [-0.35, -0.3]: 244 / 2122
[84, 86]; [-0.3, -0.25]: 226 / 2116
[84, 86]; [-0.25, -0.2]: 248 / 2110
[84, 86]; [-0.2, -0.15]: 231 / 2097
[84, 86]; [-0.15, -0.1]: 281 / 1973
[84, 86]; [-0.1, -0.05]: 254 / 2108
[84, 86]; [-0.05, 0]: 237 / 2152
[84, 86]; [0, 0.05]: 255 / 2096
[84, 86]; [0.05, 0.1]: 241 / 2094
[84, 86]; [0.1, 0.15]: 231 / 2135
[84, 86]; [0.15, 0.2]: 220 / 2133
[84, 86]; [0.2, 0.25]: 207 / 2154
[84, 86]; [0.25, 0.3]: 269 / 2153
[84, 86]; [0.3, 0.35]: 244 / 2145
[84, 86]; [0.35, 0.4]: 236 / 2201
[84, 86]; [0.4, 0.45]: 227 / 2173
[84, 86]; [0.45, 0.5]: 269 / 2198
[84, 86]; [0.5, 0.55]: 234 / 2329
[84, 86]; [0.55, 0.6]: 263 / 2385
[84, 86]; [0.6, 0.65]: 268 / 2446
[84, 86]; [0.65, 0.7]: 303 / 2560
[84, 86]; [0.7, 0.75]: 278 / 2633
[84, 86]; [0.75, 0.8]: 289 / 2755
[84, 86]; [0.8, 0.85]: 250 / 2937
[84, 86]; [0.85, 0.9]: 105 / 1117
