[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[31, 32]; [0.1, 0.15]: 20939 / 4003
[31, 32]; [0.15, 0.2]: 21091 / 4005
[31, 32]; [0.2, 0.25]: 20940 / 3940
[31, 32]; [0.25, 0.3]: 21100 / 4030
[31, 32]; [0.3, 0.35]: 20847 / 3943
[31, 32]; [0.35, 0.4]: 20953 / 3882
[31, 32]; [0.4, 0.45]: 20503 / 4094
[31, 32]; [0.45, 0.5]: 20581 / 4090
[31, 32]; [0.5, 0.55]: 20422 / 4146
[31, 32]; [0.55, 0.6]: 19987 / 3977
[31, 32]; [0.6, 0.65]: 15044 / 3077
[31, 32]; [0.65, 0.7]: 4154 / 856
[31, 32]; [0.7, 0.75]: 5 / 2
[31, 32]; [0.75, 0.8]: 0 / 0
[31, 32]; [0.8, 0.85]: 0 / 0
[31, 32]; [0.85, 0.9]: 0 / 0
[31, 32]; [0.9, 0.95]: 0 / 0
[31, 32]; [0.95, 1]: 0 / 0

[32, 33]; [-1, -0.95]: 0 / 0
[32, 33]; [-0.95, -0.9]: 0 / 0
[32, 33]; [-0.9, -0.85]: 0 / 0
[32, 33]; [-0.85, -0.8]: 0 / 0
[32, 33]; [-0.8, -0.75]: 0 / 0
[32, 33]; [-0.75, -0.7]: 89 / 22
[32, 33]; [-0.7, -0.65]: 5385 / 998
[32, 33]; [-0.65, -0.6]: 14375 / 2816
[32, 33]; [-0.6, -0.55]: 17524 / 3362
[32, 33]; [-0.55, -0.5]: 17551 / 3340
[32, 33]; [-0.5, -0.45]: 17520 / 3406
[32, 33]; [-0.45, -0.4]: 17615 / 3425
[32, 33]; [-0.4, -0.35]: 17719 / 3378
[32, 33]; [-0.35, -0.3]: 17931 / 3492
[32, 33]; [-0.3, -0.25]: 17908 / 3505
[32, 33]; [-0.25, -0.2]: 18014 / 3321
[32, 33]; [-0.2, -0.15]: 18149 / 3409
[32, 33]; [-0.15, -0.1]: 18006 / 3492
[32, 33]; [-0.1, -0.05]: 17962 / 3316
[32, 33]; [-0.05, 0]: 18160 / 3405
[32, 33]; [0, 0.05]: 17999 / 3299
[32, 33]; [0.05, 0.1]: 18211 / 3445
[32, 33]; [0.1, 0.15]: 18176 / 3410
[32, 33]; [0.15, 0.2]: 18061 / 3273
[32, 33]; [0.2, 0.25]: 18214 / 3326
[32, 33]; [0.25, 0.3]: 17832 / 3367
[32, 33]; [0.3, 0.35]: 18069 / 3366
[32, 33]; [0.35, 0.4]: 17822 / 3435
[32, 33]; [0.4, 0.45]: 17622 / 3410
[32, 33]; [0.45, 0.5]: 17671 / 3448
[32, 33]; [0.5, 0.55]: 17575 / 3401
[32, 33]; [0.55, 0.6]: 17497 / 3529
[32, 33]; [0.6, 0.65]: 14473 / 2885
[32, 33]; [0.65, 0.7]: 5502 / 1055
[32, 33]; [0.7, 0.75]: 111 / 22
[32, 33]; [0.75, 0.8]: 0 / 0
[32, 33]; [0.8, 0.85]: 0 / 0
[32, 33]; [0.85, 0.9]: 0 / 0
[32, 33]; [0.9, 0.95]: 0 / 0
[32, 33]; [0.95, 1]: 0 / 0

[33, 34]; [-1, -0.95]: 0 / 0
[33, 34]; [-0.95, -0.9]: 0 / 0
[33, 34]; [-0.9, -0.85]: 0 / 0
[33, 34]; [-0.85, -0.8]: 0 / 0
[33, 34]; [-0.8, -0.75]: 0 / 0
[33, 34]; [-0.75, -0.7]: 353 / 62
[33, 34]; [-0.7, -0.65]: 6314 / 1188
[33, 34]; [-0.65, -0.6]: 13540 / 2655
[33, 34]; [-0.6, -0.55]: 14998 / 2887
[33, 34]; [-0.55, -0.5]: 15345 / 2900
[33, 34]; [-0.5, -0.45]: 15160 / 2932
[33, 34]; [-0.45, -0.4]: 15544 / 2795
[33, 34]; [-0.4, -0.35]: 15582 / 2884
[33, 34]; [-0.35, -0.3]: 15510 / 2777
[33, 34]; [-0.3, -0.25]: 15362 / 2734
[33, 34]; [-0.25, -0.2]: 15816 / 2838
[33, 34]; [-0.2, -0.15]: 15729 / 2735
[33, 34]; [-0.15, -0.1]: 15609 / 2834
[33, 34]; [-0.1, -0.05]: 15706 / 2927
[33, 34]; [-0.05, 0]: 15490 / 2885
[33, 34]; [0, 0.05]: 15745 / 2847
[33, 34]; [0.05, 0.1]: 15545 / 2839
[33, 34]; [0.1, 0.15]: 15726 / 2822
[33, 34]; [0.15, 0.2]: 15514 / 2815
[33, 34]; [0.2, 0.25]: 15626 / 2889
[33, 34]; [0.25, 0.3]: 15800 / 2864
[33, 34]; [0.3, 0.35]: 15612 / 2795
[33, 34]; [0.35, 0.4]: 15421 / 2906
[33, 34]; [0.4, 0.45]: 15350 / 2919
[33, 34]; [0.45, 0.5]: 15271 / 2892
[33, 34]; [0.5, 0.55]: 15407 / 2858
[33, 34]; [0.55, 0.6]: 15280 / 2981
[33, 34]; [0.6, 0.65]: 13727 / 2685
[33, 34]; [0.65, 0.7]: 6449 / 1215
[33, 34]; [0.7, 0.75]: 354 / 64
[33, 34]; [0.75, 0.8]: 0 / 0
[33, 34]; [0.8, 0.85]: 0 / 0
[33, 34]; [0.85, 0.9]: 0 / 0
[33, 34]; [0.9, 0.95]: 0 / 0
[33, 34]; [0.95, 1]: 0 / 0

[34, 35]; [-1, -0.95]: 0 / 0
[34, 35]; [-0.95, -0.9]: 0 / 0
[34, 35]; [-0.9, -0.85]: 0 / 0
[34, 35]; [-0.85, -0.8]: 0 / 0
[34, 35]; [-0.8, -0.75]: 0 / 0
[34, 35]; [-0.75, -0.7]: 644 / 132
[34, 35]; [-0.7, -0.65]: 7111 / 1369
[34, 35]; [-0.65, -0.6]: 12490 / 2357
[34, 35]; [-0.6, -0.55]: 13176 / 2569
[34, 35]; [-0.55, -0.5]: 13041 / 2513
[34, 35]; [-0.5, -0.45]: 13097 / 2546
[34, 35]; [-0.45, -0.4]: 13345 / 2439
[34, 35]; [-0.4, -0.35]: 13621 / 2423
[34, 35]; [-0.35, -0.3]: 13454 / 2457
[34, 35]; [-0.3, -0.25]: 13534 / 2425
[34, 35]; [-0.25, -0.2]: 13592 / 2501
[34, 35]; [-0.2, -0.15]: 13645 / 2466
[34, 35]; [-0.15, -0.1]: 13678 / 2463
[34, 35]; [-0.1, -0.05]: 13510 / 2466
[34, 35]; [-0.05, 0]: 13526 / 2418
[34, 35]; [0, 0.05]: 13596 / 2326
[34, 35]; [0.05, 0.1]: 13628 / 2388
[34, 35]; [0.1, 0.15]: 13701 / 2404
[34, 35]; [0.15, 0.2]: 13721 / 2420
[34, 35]; [0.2, 0.25]: 13528 / 2467
[34, 35]; [0.25, 0.3]: 13512 / 2381
[34, 35]; [0.3, 0.35]: 13527 / 2482
[34, 35]; [0.35, 0.4]: 13391 / 2527
[34, 35]; [0.4, 0.45]: 13485 / 2524
[34, 35]; [0.45, 0.5]: 13197 / 2472
[34, 35]; [0.5, 0.55]: 13364 / 2477
[34, 35]; [0.55, 0.6]: 13346 / 2595
[34, 35]; [0.6, 0.65]: 12667 / 2460
[34, 35]; [0.65, 0.7]: 7156 / 1376
[34, 35]; [0.7, 0.75]: 609 / 114
[34, 35]; [0.75, 0.8]: 0 / 0
[34, 35]; [0.8, 0.85]: 0 / 0
[34, 35]; [0.85, 0.9]: 0 / 0
[34, 35]; [0.9, 0.95]: 0 / 0
[34, 35]; [0.95, 1]: 0 / 0

[35, 36]; [-1, -0.95]: 0 / 0
[35, 36]; [-0.95, -0.9]: 0 / 0
[35, 36]; [-0.9, -0.85]: 0 / 0
[35, 36]; [-0.85, -0.8]: 0 / 0
[35, 36]; [-0.8, -0.75]: 0 / 0
[35, 36]; [-0.75, -0.7]: 1034 / 176
[35, 36]; [-0.7, -0.65]: 7403 / 1389
[35, 36]; [-0.65, -0.6]: 11618 / 2137
[35, 36]; [-0.6, -0.55]: 11521 / 2157
[35, 36]; [-0.55, -0.5]: 11706 / 2197
[35, 36]; [-0.5, -0.45]: 11635 / 2097
[35, 36]; [-0.45, -0.4]: 11693 / 2111
[35, 36]; [-0.4, -0.35]: 11764 / 2044
[35, 36]; [-0.35, -0.3]: 11782 / 2029
[35, 36]; [-0.3, -0.25]: 11937 / 2090
[35, 36]; [-0.25, -0.2]: 12116 / 2132
[35, 36]; [-0.2, -0.15]: 11953 / 2076
[35, 36]; [-0.15, -0.1]: 12037 / 2090
[35, 36]; [-0.1, -0.05]: 12022 / 2071
[35, 36]; [-0.05, 0]: 11744 / 2110
[35, 36]; [0, 0.05]: 11964 / 2115
[35, 36]; [0.05, 0.1]: 11812 / 2086
[35, 36]; [0.1, 0.15]: 11935 / 2032
[35, 36]; [0.15, 0.2]: 11851 / 2156
[35, 36]; [0.2, 0.25]: 11893 / 2120
[35, 36]; [0.25, 0.3]: 11808 / 2146
[35, 36]; [0.3, 0.35]: 11983 / 2173
[35, 36]; [0.35, 0.4]: 11825 / 2079
[35, 36]; [0.4, 0.45]: 11798 / 2111
[35, 36]; [0.45, 0.5]: 11715 / 2164
[35, 36]; [0.5, 0.55]: 11590 / 2192
[35, 36]; [0.55, 0.6]: 11442 / 2148
[35, 36]; [0.6, 0.65]: 11402 / 2088
[35, 36]; [0.65, 0.7]: 7432 / 1411
[35, 36]; [0.7, 0.75]: 1074 / 226
[35, 36]; [0.75, 0.8]: 0 / 0
[35, 36]; [0.8, 0.85]: 0 / 0
