[pTmin, pTmax]; [cosmin, cosmax]: PR entries / NP entries
[6.13497, 6.45786]; [0.85, 0.9]: 0 / 0

[6.45786, 7.10365]; [-0.9, -0.85]: 0 / 0
[6.45786, 7.10365]; [-0.85, -0.8]: 0 / 0
[6.45786, 7.10365]; [-0.8, -0.75]: 0 / 0
[6.45786, 7.10365]; [-0.75, -0.7]: 0 / 0
[6.45786, 7.10365]; [-0.7, -0.65]: 0 / 0
[6.45786, 7.10365]; [-0.65, -0.6]: 0 / 0
[6.45786, 7.10365]; [-0.6, -0.55]: 374 / 354
[6.45786, 7.10365]; [-0.55, -0.5]: 6497 / 6142
[6.45786, 7.10365]; [-0.5, -0.45]: 20533 / 19553
[6.45786, 7.10365]; [-0.45, -0.4]: 33634 / 32368
[6.45786, 7.10365]; [-0.4, -0.35]: 40371 / 39090
[6.45786, 7.10365]; [-0.35, -0.3]: 42888 / 41550
[6.45786, 7.10365]; [-0.3, -0.25]: 42925 / 41736
[6.45786, 7.10365]; [-0.25, -0.2]: 42783 / 41536
[6.45786, 7.10365]; [-0.2, -0.15]: 42439 / 41589
[6.45786, 7.10365]; [-0.15, -0.1]: 42524 / 41629
[6.45786, 7.10365]; [-0.1, -0.05]: 42024 / 41905
[6.45786, 7.10365]; [-0.05, 0]: 42194 / 41765
[6.45786, 7.10365]; [0, 0.05]: 42500 / 41885
[6.45786, 7.10365]; [0.05, 0.1]: 42444 / 42157
[6.45786, 7.10365]; [0.1, 0.15]: 42571 / 41937
[6.45786, 7.10365]; [0.15, 0.2]: 42324 / 41685
[6.45786, 7.10365]; [0.2, 0.25]: 42788 / 41579
[6.45786, 7.10365]; [0.25, 0.3]: 42955 / 41635
[6.45786, 7.10365]; [0.3, 0.35]: 42966 / 41584
[6.45786, 7.10365]; [0.35, 0.4]: 40232 / 38634
[6.45786, 7.10365]; [0.4, 0.45]: 33275 / 31945
[6.45786, 7.10365]; [0.45, 0.5]: 20259 / 19472
[6.45786, 7.10365]; [0.5, 0.55]: 6476 / 6075
[6.45786, 7.10365]; [0.55, 0.6]: 395 / 361
[6.45786, 7.10365]; [0.6, 0.65]: 0 / 0
[6.45786, 7.10365]; [0.65, 0.7]: 0 / 0
[6.45786, 7.10365]; [0.7, 0.75]: 0 / 0
[6.45786, 7.10365]; [0.75, 0.8]: 0 / 0
[6.45786, 7.10365]; [0.8, 0.85]: 0 / 0
[6.45786, 7.10365]; [0.85, 0.9]: 0 / 0

[7.10365, 7.74943]; [-0.9, -0.85]: 0 / 0
[7.10365, 7.74943]; [-0.85, -0.8]: 0 / 0
[7.10365, 7.74943]; [-0.8, -0.75]: 0 / 0
[7.10365, 7.74943]; [-0.75, -0.7]: 0 / 0
