[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[64, 66]; [-0.85, -0.8]: 438 / 2016
[64, 66]; [-0.8, -0.75]: 742 / 3430
[64, 66]; [-0.75, -0.7]: 653 / 3336
[64, 66]; [-0.7, -0.65]: 718 / 3278
[64, 66]; [-0.65, -0.6]: 683 / 3223
[64, 66]; [-0.6, -0.55]: 620 / 3286
[64, 66]; [-0.55, -0.5]: 601 / 3171
[64, 66]; [-0.5, -0.45]: 616 / 3018
[64, 66]; [-0.45, -0.4]: 594 / 2960
[64, 66]; [-0.4, -0.35]: 573 / 2927
[64, 66]; [-0.35, -0.3]: 557 / 2897
[64, 66]; [-0.3, -0.25]: 546 / 2811
[64, 66]; [-0.25, -0.2]: 577 / 2806
[64, 66]; [-0.2, -0.15]: 548 / 2672
[64, 66]; [-0.15, -0.1]: 506 / 2846
[64, 66]; [-0.1, -0.05]: 535 / 2817
[64, 66]; [-0.05, 0]: 545 / 2744
[64, 66]; [0, 0.05]: 521 / 2780
[64, 66]; [0.05, 0.1]: 505 / 2800
[64, 66]; [0.1, 0.15]: 538 / 2806
[64, 66]; [0.15, 0.2]: 557 / 2892
[64, 66]; [0.2, 0.25]: 579 / 2752
[64, 66]; [0.25, 0.3]: 579 / 2904
[64, 66]; [0.3, 0.35]: 607 / 2779
[64, 66]; [0.35, 0.4]: 573 / 2928
[64, 66]; [0.4, 0.45]: 620 / 3110
[64, 66]; [0.45, 0.5]: 670 / 3074
[64, 66]; [0.5, 0.55]: 627 / 3165
[64, 66]; [0.55, 0.6]: 652 / 3220
[64, 66]; [0.6, 0.65]: 632 / 3210
[64, 66]; [0.65, 0.7]: 705 / 3365
[64, 66]; [0.7, 0.75]: 712 / 3376
[64, 66]; [0.75, 0.8]: 743 / 3527
[64, 66]; [0.8, 0.85]: 473 / 2095
[64, 66]; [0.85, 0.9]: 0 / 0
[64, 66]; [0.9, 0.95]: 0 / 0
[64, 66]; [0.95, 1]: 0 / 0

