[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[6.13497, 6.45786]; [-0.25, -0.2]: 28979 / 2366
[6.13497, 6.45786]; [-0.2, -0.15]: 29352 / 2285
[6.13497, 6.45786]; [-0.15, -0.1]: 29404 / 2256
[6.13497, 6.45786]; [-0.1, -0.05]: 29363 / 2371
[6.13497, 6.45786]; [-0.05, 0]: 29333 / 2290
[6.13497, 6.45786]; [0, 0.05]: 29488 / 2338
[6.13497, 6.45786]; [0.05, 0.1]: 29103 / 2306
[6.13497, 6.45786]; [0.1, 0.15]: 29108 / 2304
[6.13497, 6.45786]; [0.15, 0.2]: 29150 / 2402
[6.13497, 6.45786]; [0.2, 0.25]: 29081 / 2342
[6.13497, 6.45786]; [0.25, 0.3]: 28924 / 2308
[6.13497, 6.45786]; [0.3, 0.35]: 27494 / 2171
[6.13497, 6.45786]; [0.35, 0.4]: 23493 / 1868
[6.13497, 6.45786]; [0.4, 0.45]: 15993 / 1294
[6.13497, 6.45786]; [0.45, 0.5]: 6415 / 524
[6.13497, 6.45786]; [0.5, 0.55]: 931 / 76
[6.13497, 6.45786]; [0.55, 0.6]: 0 / 0
[6.13497, 6.45786]; [0.6, 0.65]: 0 / 0
[6.13497, 6.45786]; [0.65, 0.7]: 0 / 0
[6.13497, 6.45786]; [0.7, 0.75]: 0 / 0
[6.13497, 6.45786]; [0.75, 0.8]: 0 / 0
[6.13497, 6.45786]; [0.8, 0.85]: 0 / 0
[6.13497, 6.45786]; [0.85, 0.9]: 0 / 0

[6.45786, 7.10365]; [-0.9, -0.85]: 0 / 0
[6.45786, 7.10365]; [-0.85, -0.8]: 0 / 0
[6.45786, 7.10365]; [-0.8, -0.75]: 0 / 0
[6.45786, 7.10365]; [-0.75, -0.7]: 0 / 0
[6.45786, 7.10365]; [-0.7, -0.65]: 0 / 0
[6.45786, 7.10365]; [-0.65, -0.6]: 0 / 0
[6.45786, 7.10365]; [-0.6, -0.55]: 354 / 29
[6.45786, 7.10365]; [-0.55, -0.5]: 6142 / 479
[6.45786, 7.10365]; [-0.5, -0.45]: 19553 / 1434
[6.45786, 7.10365]; [-0.45, -0.4]: 32368 / 2341
[6.45786, 7.10365]; [-0.4, -0.35]: 39090 / 2798
[6.45786, 7.10365]; [-0.35, -0.3]: 41550 / 3069
[6.45786, 7.10365]; [-0.3, -0.25]: 41736 / 3013
[6.45786, 7.10365]; [-0.25, -0.2]: 41536 / 2988
[6.45786, 7.10365]; [-0.2, -0.15]: 41589 / 3071
[6.45786, 7.10365]; [-0.15, -0.1]: 41629 / 2968
[6.45786, 7.10365]; [-0.1, -0.05]: 41905 / 3095
[6.45786, 7.10365]; [-0.05, 0]: 41765 / 3015
[6.45786, 7.10365]; [0, 0.05]: 41885 / 3074
[6.45786, 7.10365]; [0.05, 0.1]: 42157 / 3063
[6.45786, 7.10365]; [0.1, 0.15]: 41937 / 3067
[6.45786, 7.10365]; [0.15, 0.2]: 41685 / 3014
[6.45786, 7.10365]; [0.2, 0.25]: 41579 / 3007
[6.45786, 7.10365]; [0.25, 0.3]: 41635 / 3029
[6.45786, 7.10365]; [0.3, 0.35]: 41584 / 3028
