[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[7.10365, 7.74943]; [0.2, 0.25]: 25292 / 1789
[7.10365, 7.74943]; [0.25, 0.3]: 25581 / 1805
[7.10365, 7.74943]; [0.3, 0.35]: 25729 / 1817
[7.10365, 7.74943]; [0.35, 0.4]: 25585 / 1842
[7.10365, 7.74943]; [0.4, 0.45]: 24676 / 1683
[7.10365, 7.74943]; [0.45, 0.5]: 20339 / 1505
[7.10365, 7.74943]; [0.5, 0.55]: 11211 / 825
[7.10365, 7.74943]; [0.55, 0.6]: 2645 / 190
[7.10365, 7.74943]; [0.6, 0.65]: 29 / 1
[7.10365, 7.74943]; [0.65, 0.7]: 0 / 0
[7.10365, 7.74943]; [0.7, 0.75]: 0 / 0
[7.10365, 7.74943]; [0.75, 0.8]: 0 / 0
[7.10365, 7.74943]; [0.8, 0.85]: 0 / 0
[7.10365, 7.74943]; [0.85, 0.9]: 0 / 0

[7.74943, 8.39522]; [-0.9, -0.85]: 0 / 0
[7.74943, 8.39522]; [-0.85, -0.8]: 0 / 0
[7.74943, 8.39522]; [-0.8, -0.75]: 0 / 0
[7.74943, 8.39522]; [-0.75, -0.7]: 0 / 0
[7.74943, 8.39522]; [-0.7, -0.65]: 0 / 0
[7.74943, 8.39522]; [-0.65, -0.6]: 615 / 32
[7.74943, 8.39522]; [-0.6, -0.55]: 5359 / 344
[7.74943, 8.39522]; [-0.55, -0.5]: 12154 / 802
[7.74943, 8.39522]; [-0.5, -0.45]: 15488 / 1064
[7.74943, 8.39522]; [-0.45, -0.4]: 16129 / 1186
[7.74943, 8.39522]; [-0.4, -0.35]: 15793 / 1144
[7.74943, 8.39522]; [-0.35, -0.3]: 15675 / 1108
[7.74943, 8.39522]; [-0.3, -0.25]: 15615 / 1105
[7.74943, 8.39522]; [-0.25, -0.2]: 15505 / 1079
[7.74943, 8.39522]; [-0.2, -0.15]: 15496 / 1088
[7.74943, 8.39522]; [-0.15, -0.1]: 15670 / 1143
[7.74943, 8.39522]; [-0.1, -0.05]: 15604 / 1085
[7.74943, 8.39522]; [-0.05, 0]: 15247 / 1079
[7.74943, 8.39522]; [0, 0.05]: 15227 / 1047
[7.74943, 8.39522]; [0.05, 0.1]: 15302 / 1076
[7.74943, 8.39522]; [0.1, 0.15]: 15450 / 1020
[7.74943, 8.39522]; [0.15, 0.2]: 15333 / 1085
[7.74943, 8.39522]; [0.2, 0.25]: 15778 / 1055
[7.74943, 8.39522]; [0.25, 0.3]: 15440 / 1037
[7.74943, 8.39522]; [0.3, 0.35]: 16020 / 1098
[7.74943, 8.39522]; [0.35, 0.4]: 16095 / 1058
[7.74943, 8.39522]; [0.4, 0.45]: 15938 / 1089
[7.74943, 8.39522]; [0.45, 0.5]: 15701 / 1095
[7.74943, 8.39522]; [0.5, 0.55]: 12441 / 848
[7.74943, 8.39522]; [0.55, 0.6]: 5382 / 375
[7.74943, 8.39522]; [0.6, 0.65]: 619 / 50
[7.74943, 8.39522]; [0.65, 0.7]: 0 / 0
[7.74943, 8.39522]; [0.7, 0.75]: 0 / 0
[7.74943, 8.39522]; [0.75, 0.8]: 0 / 0
[7.74943, 8.39522]; [0.8, 0.85]: 0 / 0
[7.74943, 8.39522]; [0.85, 0.9]: 0 / 0

[8.39522, 9.04101]; [-0.9, -0.85]: 0 / 0
[8.39522, 9.04101]; [-0.85, -0.8]: 0 / 0
[8.39522, 9.04101]; [-0.8, -0.75]: 0 / 0
[8.39522, 9.04101]; [-0.75, -0.7]: 0 / 0
