[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[32, 34]; [0.35, 0.4]: 4429 / 216
[32, 34]; [0.4, 0.45]: 4559 / 213
[32, 34]; [0.45, 0.5]: 4457 / 223
[32, 34]; [0.5, 0.55]: 4544 / 224
[32, 34]; [0.55, 0.6]: 4434 / 233
[32, 34]; [0.6, 0.65]: 3871 / 185
[32, 34]; [0.65, 0.7]: 1581 / 72
[32, 34]; [0.7, 0.75]: 48 / 5
[32, 34]; [0.75, 0.8]: 0 / 0
[32, 34]; [0.8, 0.85]: 0 / 0
[32, 34]; [0.85, 0.9]: 0 / 0

[34, 36]; [-0.9, -0.85]: 0 / 0
[34, 36]; [-0.85, -0.8]: 0 / 0
[34, 36]; [-0.8, -0.75]: 0 / 0
[34, 36]; [-0.75, -0.7]: 191 / 15
[34, 36]; [-0.7, -0.65]: 1978 / 94
[34, 36]; [-0.65, -0.6]: 3227 / 163
[34, 36]; [-0.6, -0.55]: 3436 / 138
[34, 36]; [-0.55, -0.5]: 3317 / 142
[34, 36]; [-0.5, -0.45]: 3245 / 144
[34, 36]; [-0.45, -0.4]: 3295 / 128
[34, 36]; [-0.4, -0.35]: 3259 / 174
[34, 36]; [-0.35, -0.3]: 3186 / 136
[34, 36]; [-0.3, -0.25]: 3247 / 139
[34, 36]; [-0.25, -0.2]: 3192 / 159
[34, 36]; [-0.2, -0.15]: 3071 / 142
[34, 36]; [-0.15, -0.1]: 3251 / 129
[34, 36]; [-0.1, -0.05]: 3204 / 144
[34, 36]; [-0.05, 0]: 3246 / 129
[34, 36]; [0, 0.05]: 3175 / 140
[34, 36]; [0.05, 0.1]: 3182 / 124
[34, 36]; [0.1, 0.15]: 3213 / 142
[34, 36]; [0.15, 0.2]: 3242 / 151
[34, 36]; [0.2, 0.25]: 3307 / 155
[34, 36]; [0.25, 0.3]: 3270 / 145
[34, 36]; [0.3, 0.35]: 3231 / 136
[34, 36]; [0.35, 0.4]: 3273 / 141
[34, 36]; [0.4, 0.45]: 3217 / 136
[34, 36]; [0.45, 0.5]: 3379 / 118
[34, 36]; [0.5, 0.55]: 3508 / 142
[34, 36]; [0.55, 0.6]: 3354 / 141
[34, 36]; [0.6, 0.65]: 3337 / 134
[34, 36]; [0.65, 0.7]: 2036 / 75
[34, 36]; [0.7, 0.75]: 197 / 6
[34, 36]; [0.75, 0.8]: 0 / 0
[34, 36]; [0.8, 0.85]: 0 / 0
[34, 36]; [0.85, 0.9]: 0 / 0

[36, 38]; [-0.9, -0.85]: 0 / 0
[36, 38]; [-0.85, -0.8]: 0 / 0
[36, 38]; [-0.8, -0.75]: 0 / 0
[36, 38]; [-0.75, -0.7]: 401 / 22
[36, 38]; [-0.7, -0.65]: 2000 / 99
[36, 38]; [-0.65, -0.6]: 2459 / 102
[36, 38]; [-0.6, -0.55]: 2502 / 105
[36, 38]; [-0.55, -0.5]: 2501 / 77
[36, 38]; [-0.5, -0.45]: 2466 / 117
[36, 38]; [-0.45, -0.4]: 2418 / 119
[36, 38]; [-0.4, -0.35]: 2334 / 86
[36, 38]; [-0.35, -0.3]: 2391 / 98
[36, 38]; [-0.3, -0.25]: 2338 / 95
[36, 38]; [-0.25, -0.2]: 2402 / 104
[36, 38]; [-0.2, -0.15]: 2338 / 97
[36, 38]; [-0.15, -0.1]: 2365 / 78
[36, 38]; [-0.1, -0.05]: 2509 / 100
[36, 38]; [-0.05, 0]: 2312 / 98
[36, 38]; [0, 0.05]: 2345 / 102
[36, 38]; [0.05, 0.1]: 2331 / 102
[36, 38]; [0.1, 0.15]: 2320 / 97
[36, 38]; [0.15, 0.2]: 2310 / 86
[36, 38]; [0.2, 0.25]: 2407 / 96
[36, 38]; [0.25, 0.3]: 2381 / 98
[36, 38]; [0.3, 0.35]: 2412 / 90
[36, 38]; [0.35, 0.4]: 2383 / 103
[36, 38]; [0.4, 0.45]: 2488 / 118
[36, 38]; [0.45, 0.5]: 2461 / 93
[36, 38]; [0.5, 0.55]: 2520 / 106
[36, 38]; [0.55, 0.6]: 2532 / 105
[36, 38]; [0.6, 0.65]: 2543 / 103
[36, 38]; [0.65, 0.7]: 2047 / 96
[36, 38]; [0.7, 0.75]: 470 / 13
[36, 38]; [0.75, 0.8]: 0 / 0
[36, 38]; [0.8, 0.85]: 0 / 0
[36, 38]; [0.85, 0.9]: 0 / 0

[38, 40]; [-0.9, -0.85]: 0 / 0
[38, 40]; [-0.85, -0.8]: 0 / 0
[38, 40]; [-0.8, -0.75]: 4 / 0
[38, 40]; [-0.75, -0.7]: 712 / 34
[38, 40]; [-0.7, -0.65]: 1775 / 75
[38, 40]; [-0.65, -0.6]: 1890 / 77
[38, 40]; [-0.6, -0.55]: 1869 / 71
[38, 40]; [-0.55, -0.5]: 1813 / 72
[38, 40]; [-0.5, -0.45]: 1792 / 73
[38, 40]; [-0.45, -0.4]: 1800 / 65
[38, 40]; [-0.4, -0.35]: 1915 / 84
[38, 40]; [-0.35, -0.3]: 1768 / 75
[38, 40]; [-0.3, -0.25]: 1782 / 67
[38, 40]; [-0.25, -0.2]: 1777 / 65
[38, 40]; [-0.2, -0.15]: 1766 / 67
[38, 40]; [-0.15, -0.1]: 1753 / 64
[38, 40]; [-0.1, -0.05]: 1858 / 61
[38, 40]; [-0.05, 0]: 1715 / 70
[38, 40]; [0, 0.05]: 1782 / 66
[38, 40]; [0.05, 0.1]: 1761 / 59
[38, 40]; [0.1, 0.15]: 1766 / 70
[38, 40]; [0.15, 0.2]: 1781 / 69
[38, 40]; [0.2, 0.25]: 1796 / 63
[38, 40]; [0.25, 0.3]: 1860 / 75
[38, 40]; [0.3, 0.35]: 1771 / 84
[38, 40]; [0.35, 0.4]: 1769 / 58
[38, 40]; [0.4, 0.45]: 1865 / 64
[38, 40]; [0.45, 0.5]: 1830 / 78
[38, 40]; [0.5, 0.55]: 1953 / 82
[38, 40]; [0.55, 0.6]: 1797 / 76
[38, 40]; [0.6, 0.65]: 1895 / 77
[38, 40]; [0.65, 0.7]: 1802 / 81
[38, 40]; [0.7, 0.75]: 686 / 28
[38, 40]; [0.75, 0.8]: 6 / 0
[38, 40]; [0.8, 0.85]: 0 / 0
[38, 40]; [0.85, 0.9]: 0 / 0

[40, 42]; [-0.9, -0.85]: 0 / 0
[40, 42]; [-0.85, -0.8]: 0 / 0
[40, 42]; [-0.8, -0.75]: 33 / 1
[40, 42]; [-0.75, -0.7]: 791 / 31
[40, 42]; [-0.7, -0.65]: 1443 / 62
[40, 42]; [-0.65, -0.6]: 1453 / 65
[40, 42]; [-0.6, -0.55]: 1401 / 47
[40, 42]; [-0.55, -0.5]: 1403 / 59
[40, 42]; [-0.5, -0.45]: 1501 / 72
[40, 42]; [-0.45, -0.4]: 1374 / 58
[40, 42]; [-0.4, -0.35]: 1422 / 71
[40, 42]; [-0.35, -0.3]: 1312 / 46
[40, 42]; [-0.3, -0.25]: 1314 / 59
[40, 42]; [-0.25, -0.2]: 1361 / 48
[40, 42]; [-0.2, -0.15]: 1267 / 52
[40, 42]; [-0.15, -0.1]: 1343 / 41
[40, 42]; [-0.1, -0.05]: 1362 / 45
[40, 42]; [-0.05, 0]: 1358 / 51
[40, 42]; [0, 0.05]: 1335 / 39
[40, 42]; [0.05, 0.1]: 1354 / 44
[40, 42]; [0.1, 0.15]: 1373 / 47
[40, 42]; [0.15, 0.2]: 1356 / 53
[40, 42]; [0.2, 0.25]: 1360 / 47
[40, 42]; [0.25, 0.3]: 1351 / 45
[40, 42]; [0.3, 0.35]: 1318 / 55
[40, 42]; [0.35, 0.4]: 1375 / 59
[40, 42]; [0.4, 0.45]: 1351 / 44
[40, 42]; [0.45, 0.5]: 1415 / 54
[40, 42]; [0.5, 0.55]: 1445 / 55
[40, 42]; [0.55, 0.6]: 1464 / 62
[40, 42]; [0.6, 0.65]: 1450 / 62
[40, 42]; [0.65, 0.7]: 1484 / 54
[40, 42]; [0.7, 0.75]: 767 / 28
[40, 42]; [0.75, 0.8]: 32 / 0
[40, 42]; [0.8, 0.85]: 0 / 0
[40, 42]; [0.85, 0.9]: 0 / 0

[42, 44]; [-0.9, -0.85]: 0 / 0
[42, 44]; [-0.85, -0.8]: 0 / 0
[42, 44]; [-0.8, -0.75]: 78 / 4
[42, 44]; [-0.75, -0.7]: 902 / 33
[42, 44]; [-0.7, -0.65]: 1123 / 43
[42, 44]; [-0.65, -0.6]: 1062 / 40
[42, 44]; [-0.6, -0.55]: 1028 / 52
[42, 44]; [-0.55, -0.5]: 998 / 41
[42, 44]; [-0.5, -0.45]: 1105 / 45
[42, 44]; [-0.45, -0.4]: 1067 / 45
[42, 44]; [-0.4, -0.35]: 1053 / 34
[42, 44]; [-0.35, -0.3]: 1017 / 35
[42, 44]; [-0.3, -0.25]: 1003 / 29
[42, 44]; [-0.25, -0.2]: 1022 / 31
[42, 44]; [-0.2, -0.15]: 1036 / 36
[42, 44]; [-0.15, -0.1]: 1031 / 41
[42, 44]; [-0.1, -0.05]: 1009 / 48
[42, 44]; [-0.05, 0]: 1014 / 50
[42, 44]; [0, 0.05]: 1049 / 39
[42, 44]; [0.05, 0.1]: 974 / 28
[42, 44]; [0.1, 0.15]: 1035 / 38
[42, 44]; [0.15, 0.2]: 1042 / 21
[42, 44]; [0.2, 0.25]: 986 / 44
[42, 44]; [0.25, 0.3]: 1030 / 35
[42, 44]; [0.3, 0.35]: 956 / 40
[42, 44]; [0.35, 0.4]: 1110 / 41
[42, 44]; [0.4, 0.45]: 1055 / 28
[42, 44]; [0.45, 0.5]: 1086 / 43
[42, 44]; [0.5, 0.55]: 1094 / 31
[42, 44]; [0.55, 0.6]: 1085 / 39
[42, 44]; [0.6, 0.65]: 1140 / 58
[42, 44]; [0.65, 0.7]: 1158 / 64
[42, 44]; [0.7, 0.75]: 897 / 33
[42, 44]; [0.75, 0.8]: 78 / 2
[42, 44]; [0.8, 0.85]: 0 / 0
[42, 44]; [0.85, 0.9]: 0 / 0

[44, 46]; [-0.9, -0.85]: 0 / 0
[44, 46]; [-0.85, -0.8]: 0 / 0
[44, 46]; [-0.8, -0.75]: 139 / 6
[44, 46]; [-0.75, -0.7]: 778 / 31
[44, 46]; [-0.7, -0.65]: 915 / 33
[44, 46]; [-0.65, -0.6]: 885 / 31
[44, 46]; [-0.6, -0.55]: 846 / 37
[44, 46]; [-0.55, -0.5]: 831 / 30
[44, 46]; [-0.5, -0.45]: 803 / 37
[44, 46]; [-0.45, -0.4]: 807 / 29
[44, 46]; [-0.4, -0.35]: 808 / 31
[44, 46]; [-0.35, -0.3]: 826 / 30
[44, 46]; [-0.3, -0.25]: 802 / 15
[44, 46]; [-0.25, -0.2]: 837 / 25
[44, 46]; [-0.2, -0.15]: 779 / 26
[44, 46]; [-0.15, -0.1]: 796 / 26
[44, 46]; [-0.1, -0.05]: 800 / 32
[44, 46]; [-0.05, 0]: 804 / 29
[44, 46]; [0, 0.05]: 787 / 20
[44, 46]; [0.05, 0.1]: 781 / 22
[44, 46]; [0.1, 0.15]: 826 / 25
[44, 46]; [0.15, 0.2]: 797 / 18
[44, 46]; [0.2, 0.25]: 793 / 20
[44, 46]; [0.25, 0.3]: 798 / 38
[44, 46]; [0.3, 0.35]: 826 / 33
[44, 46]; [0.35, 0.4]: 840 / 32
[44, 46]; [0.4, 0.45]: 772 / 35
[44, 46]; [0.45, 0.5]: 825 / 32
[44, 46]; [0.5, 0.55]: 847 / 49
[44, 46]; [0.55, 0.6]: 881 / 34
[44, 46]; [0.6, 0.65]: 908 / 30
[44, 46]; [0.65, 0.7]: 897 / 33
[44, 46]; [0.7, 0.75]: 804 / 31
[44, 46]; [0.75, 0.8]: 144 / 8
[44, 46]; [0.8, 0.85]: 0 / 0
[44, 46]; [0.85, 0.9]: 0 / 0

[46, 48]; [-0.9, -0.85]: 0 / 0
[46, 48]; [-0.85, -0.8]: 0 / 0
[46, 48]; [-0.8, -0.75]: 204 / 5
[46, 48]; [-0.75, -0.7]: 690 / 27
[46, 48]; [-0.7, -0.65]: 664 / 36
[46, 48]; [-0.65, -0.6]: 699 / 17
[46, 48]; [-0.6, -0.55]: 629 / 19
[46, 48]; [-0.55, -0.5]: 714 / 23
[46, 48]; [-0.5, -0.45]: 624 / 25
[46, 48]; [-0.45, -0.4]: 582 / 24
[46, 48]; [-0.4, -0.35]: 652 / 17
[46, 48]; [-0.35, -0.3]: 611 / 26
[46, 48]; [-0.3, -0.25]: 604 / 12
[46, 48]; [-0.25, -0.2]: 640 / 22
[46, 48]; [-0.2, -0.15]: 590 / 24
[46, 48]; [-0.15, -0.1]: 590 / 19
[46, 48]; [-0.1, -0.05]: 585 / 21
[46, 48]; [-0.05, 0]: 568 / 24
[46, 48]; [0, 0.05]: 618 / 26
[46, 48]; [0.05, 0.1]: 622 / 25
[46, 48]; [0.1, 0.15]: 632 / 17
[46, 48]; [0.15, 0.2]: 595 / 19
[46, 48]; [0.2, 0.25]: 634 / 19
[46, 48]; [0.25, 0.3]: 598 / 18
[46, 48]; [0.3, 0.35]: 620 / 14
[46, 48]; [0.35, 0.4]: 641 / 18
[46, 48]; [0.4, 0.45]: 636 / 23
[46, 48]; [0.45, 0.5]: 633 / 15
[46, 48]; [0.5, 0.55]: 672 / 22
[46, 48]; [0.55, 0.6]: 690 / 23
[46, 48]; [0.6, 0.65]: 712 / 18
[46, 48]; [0.65, 0.7]: 735 / 33
[46, 48]; [0.7, 0.75]: 641 / 21
[46, 48]; [0.75, 0.8]: 244 / 8
[46, 48]; [0.8, 0.85]: 0 / 0
[46, 48]; [0.85, 0.9]: 0 / 0

[48, 50]; [-0.9, -0.85]: 0 / 0
[48, 50]; [-0.85, -0.8]: 1 / 0
[48, 50]; [-0.8, -0.75]: 267 / 8
[48, 50]; [-0.75, -0.7]: 545 / 23
[48, 50]; [-0.7, -0.65]: 580 / 30
[48, 50]; [-0.65, -0.6]: 564 / 17
[48, 50]; [-0.6, -0.55]: 497 / 16
[48, 50]; [-0.55, -0.5]: 473 / 24
[48, 50]; [-0.5, -0.45]: 526 / 15
[48, 50]; [-0.45, -0.4]: 454 / 16
[48, 50]; [-0.4, -0.35]: 522 / 14
[48, 50]; [-0.35, -0.3]: 465 / 13
[48, 50]; [-0.3, -0.25]: 443 / 12
[48, 50]; [-0.25, -0.2]: 484 / 12
[48, 50]; [-0.2, -0.15]: 471 / 14
[48, 50]; [-0.15, -0.1]: 455 / 16
[48, 50]; [-0.1, -0.05]: 447 / 20
[48, 50]; [-0.05, 0]: 471 / 18
[48, 50]; [0, 0.05]: 463 / 19
[48, 50]; [0.05, 0.1]: 490 / 18
[48, 50]; [0.1, 0.15]: 476 / 11
[48, 50]; [0.15, 0.2]: 500 / 17
[48, 50]; [0.2, 0.25]: 477 / 10
[48, 50]; [0.25, 0.3]: 535 / 12
[48, 50]; [0.3, 0.35]: 456 / 20
[48, 50]; [0.35, 0.4]: 491 / 18
[48, 50]; [0.4, 0.45]: 478 / 21
[48, 50]; [0.45, 0.5]: 533 / 16
[48, 50]; [0.5, 0.55]: 553 / 16
[48, 50]; [0.55, 0.6]: 491 / 22
[48, 50]; [0.6, 0.65]: 544 / 21
[48, 50]; [0.65, 0.7]: 599 / 18
[48, 50]; [0.7, 0.75]: 553 / 25
[48, 50]; [0.75, 0.8]: 258 / 7
[48, 50]; [0.8, 0.85]: 1 / 0
[48, 50]; [0.85, 0.9]: 0 / 0

[50, 52.5]; [-0.9, -0.85]: 0 / 0
[50, 52.5]; [-0.85, -0.8]: 10 / 0
[50, 52.5]; [-0.8, -0.75]: 382 / 9
[50, 52.5]; [-0.75, -0.7]: 584 / 32
[50, 52.5]; [-0.7, -0.65]: 549 / 13
[50, 52.5]; [-0.65, -0.6]: 551 / 17
[50, 52.5]; [-0.6, -0.55]: 517 / 28
[50, 52.5]; [-0.55, -0.5]: 523 / 15
[50, 52.5]; [-0.5, -0.45]: 449 / 13
[50, 52.5]; [-0.45, -0.4]: 461 / 13
[50, 52.5]; [-0.4, -0.35]: 451 / 12
[50, 52.5]; [-0.35, -0.3]: 497 / 16
[50, 52.5]; [-0.3, -0.25]: 409 / 18
[50, 52.5]; [-0.25, -0.2]: 467 / 16
[50, 52.5]; [-0.2, -0.15]: 433 / 15
[50, 52.5]; [-0.15, -0.1]: 452 / 13
[50, 52.5]; [-0.1, -0.05]: 419 / 20
[50, 52.5]; [-0.05, 0]: 478 / 14
[50, 52.5]; [0, 0.05]: 438 / 21
[50, 52.5]; [0.05, 0.1]: 479 / 28
[50, 52.5]; [0.1, 0.15]: 443 / 20
[50, 52.5]; [0.15, 0.2]: 466 / 14
[50, 52.5]; [0.2, 0.25]: 474 / 13
[50, 52.5]; [0.25, 0.3]: 486 / 21
[50, 52.5]; [0.3, 0.35]: 517 / 15
[50, 52.5]; [0.35, 0.4]: 463 / 16
[50, 52.5]; [0.4, 0.45]: 453 / 22
[50, 52.5]; [0.45, 0.5]: 505 / 11
[50, 52.5]; [0.5, 0.55]: 538 / 16
[50, 52.5]; [0.55, 0.6]: 518 / 20
[50, 52.5]; [0.6, 0.65]: 570 / 17
[50, 52.5]; [0.65, 0.7]: 580 / 23
[50, 52.5]; [0.7, 0.75]: 562 / 17
[50, 52.5]; [0.75, 0.8]: 361 / 11
[50, 52.5]; [0.8, 0.85]: 11 / 0
[50, 52.5]; [0.85, 0.9]: 0 / 0

[52.5, 55]; [-0.9, -0.85]: 0 / 0
[52.5, 55]; [-0.85, -0.8]: 24 / 0
[52.5, 55]; [-0.8, -0.75]: 338 / 12
[52.5, 55]; [-0.75, -0.7]: 412 / 13
[52.5, 55]; [-0.7, -0.65]: 417 / 11
[52.5, 55]; [-0.65, -0.6]: 398 / 11
[52.5, 55]; [-0.6, -0.55]: 372 / 7
[52.5, 55]; [-0.55, -0.5]: 346 / 14
[52.5, 55]; [-0.5, -0.45]: 374 / 11
[52.5, 55]; [-0.45, -0.4]: 379 / 16
[52.5, 55]; [-0.4, -0.35]: 364 / 11
[52.5, 55]; [-0.35, -0.3]: 308 / 13
[52.5, 55]; [-0.3, -0.25]: 336 / 10
[52.5, 55]; [-0.25, -0.2]: 372 / 9
[52.5, 55]; [-0.2, -0.15]: 322 / 7
[52.5, 55]; [-0.15, -0.1]: 359 / 12
[52.5, 55]; [-0.1, -0.05]: 354 / 6
[52.5, 55]; [-0.05, 0]: 342 / 12
[52.5, 55]; [0, 0.05]: 333 / 9
[52.5, 55]; [0.05, 0.1]: 309 / 10
[52.5, 55]; [0.1, 0.15]: 343 / 9
[52.5, 55]; [0.15, 0.2]: 345 / 9
[52.5, 55]; [0.2, 0.25]: 344 / 9
[52.5, 55]; [0.25, 0.3]: 349 / 14
[52.5, 55]; [0.3, 0.35]: 349 / 13
[52.5, 55]; [0.35, 0.4]: 369 / 7
[52.5, 55]; [0.4, 0.45]: 385 / 8
[52.5, 55]; [0.45, 0.5]: 369 / 8
[52.5, 55]; [0.5, 0.55]: 355 / 11
[52.5, 55]; [0.55, 0.6]: 394 / 8
[52.5, 55]; [0.6, 0.65]: 383 / 15
[52.5, 55]; [0.65, 0.7]: 421 / 11
[52.5, 55]; [0.7, 0.75]: 432 / 12
[52.5, 55]; [0.75, 0.8]: 312 / 13
[52.5, 55]; [0.8, 0.85]: 15 / 1
[52.5, 55]; [0.85, 0.9]: 0 / 0

[55, 57.5]; [-0.9, -0.85]: 0 / 0
[55, 57.5]; [-0.85, -0.8]: 53 / 3
[55, 57.5]; [-0.8, -0.75]: 324 / 6
[55, 57.5]; [-0.75, -0.7]: 313 / 10
[55, 57.5]; [-0.7, -0.65]: 295 / 12
[55, 57.5]; [-0.65, -0.6]: 312 / 10
[55, 57.5]; [-0.6, -0.55]: 279 / 7
[55, 57.5]; [-0.55, -0.5]: 253 / 8
[55, 57.5]; [-0.5, -0.45]: 295 / 5
[55, 57.5]; [-0.45, -0.4]: 265 / 11
[55, 57.5]; [-0.4, -0.35]: 285 / 7
[55, 57.5]; [-0.35, -0.3]: 265 / 7
[55, 57.5]; [-0.3, -0.25]: 258 / 9
[55, 57.5]; [-0.25, -0.2]: 263 / 6
[55, 57.5]; [-0.2, -0.15]: 263 / 13
[55, 57.5]; [-0.15, -0.1]: 272 / 9
[55, 57.5]; [-0.1, -0.05]: 271 / 11
[55, 57.5]; [-0.05, 0]: 282 / 7
[55, 57.5]; [0, 0.05]: 246 / 9
[55, 57.5]; [0.05, 0.1]: 274 / 9
[55, 57.5]; [0.1, 0.15]: 252 / 4
[55, 57.5]; [0.15, 0.2]: 265 / 7
[55, 57.5]; [0.2, 0.25]: 259 / 5
[55, 57.5]; [0.25, 0.3]: 275 / 8
[55, 57.5]; [0.3, 0.35]: 265 / 4
[55, 57.5]; [0.35, 0.4]: 271 / 2
[55, 57.5]; [0.4, 0.45]: 271 / 16
[55, 57.5]; [0.45, 0.5]: 294 / 6
[55, 57.5]; [0.5, 0.55]: 289 / 12
[55, 57.5]; [0.55, 0.6]: 315 / 7
[55, 57.5]; [0.6, 0.65]: 279 / 7
[55, 57.5]; [0.65, 0.7]: 342 / 10
[55, 57.5]; [0.7, 0.75]: 329 / 9
[55, 57.5]; [0.75, 0.8]: 294 / 12
[55, 57.5]; [0.8, 0.85]: 47 / 1
[55, 57.5]; [0.85, 0.9]: 0 / 0

[57.5, 60]; [-0.9, -0.85]: 0 / 0
[57.5, 60]; [-0.85, -0.8]: 66 / 1
[57.5, 60]; [-0.8, -0.75]: 234 / 8
[57.5, 60]; [-0.75, -0.7]: 243 / 8
[57.5, 60]; [-0.7, -0.65]: 234 / 2
[57.5, 60]; [-0.65, -0.6]: 249 / 4
[57.5, 60]; [-0.6, -0.55]: 202 / 7
[57.5, 60]; [-0.55, -0.5]: 204 / 4
[57.5, 60]; [-0.5, -0.45]: 195 / 5
[57.5, 60]; [-0.45, -0.4]: 201 / 5
[57.5, 60]; [-0.4, -0.35]: 230 / 7
[57.5, 60]; [-0.35, -0.3]: 202 / 10
[57.5, 60]; [-0.3, -0.25]: 200 / 3
[57.5, 60]; [-0.25, -0.2]: 221 / 6
[57.5, 60]; [-0.2, -0.15]: 199 / 4
[57.5, 60]; [-0.15, -0.1]: 188 / 5
[57.5, 60]; [-0.1, -0.05]: 201 / 6
[57.5, 60]; [-0.05, 0]: 182 / 4
[57.5, 60]; [0, 0.05]: 182 / 7
[57.5, 60]; [0.05, 0.1]: 182 / 10
[57.5, 60]; [0.1, 0.15]: 185 / 5
[57.5, 60]; [0.15, 0.2]: 198 / 4
[57.5, 60]; [0.2, 0.25]: 199 / 6
[57.5, 60]; [0.25, 0.3]: 223 / 10
[57.5, 60]; [0.3, 0.35]: 183 / 4
[57.5, 60]; [0.35, 0.4]: 181 / 9
[57.5, 60]; [0.4, 0.45]: 219 / 5
[57.5, 60]; [0.45, 0.5]: 199 / 6
[57.5, 60]; [0.5, 0.55]: 243 / 4
[57.5, 60]; [0.55, 0.6]: 246 / 6
[57.5, 60]; [0.6, 0.65]: 249 / 9
[57.5, 60]; [0.65, 0.7]: 238 / 11
[57.5, 60]; [0.7, 0.75]: 245 / 5
[57.5, 60]; [0.75, 0.8]: 262 / 8
[57.5, 60]; [0.8, 0.85]: 70 / 3
[57.5, 60]; [0.85, 0.9]: 0 / 0

[60, 65]; [-0.9, -0.85]: 0 / 0
[60, 65]; [-0.85, -0.8]: 164 / 6
[60, 65]; [-0.8, -0.75]: 379 / 7
[60, 65]; [-0.75, -0.7]: 360 / 10
[60, 65]; [-0.7, -0.65]: 309 / 7
[60, 65]; [-0.65, -0.6]: 317 / 11
[60, 65]; [-0.6, -0.55]: 342 / 6
[60, 65]; [-0.55, -0.5]: 291 / 12
[60, 65]; [-0.5, -0.45]: 311 / 10
[60, 65]; [-0.45, -0.4]: 261 / 8
[60, 65]; [-0.4, -0.35]: 287 / 11
[60, 65]; [-0.35, -0.3]: 290 / 11
[60, 65]; [-0.3, -0.25]: 243 / 9
[60, 65]; [-0.25, -0.2]: 249 / 5
[60, 65]; [-0.2, -0.15]: 232 / 5
[60, 65]; [-0.15, -0.1]: 265 / 5
[60, 65]; [-0.1, -0.05]: 255 / 9
[60, 65]; [-0.05, 0]: 266 / 11
[60, 65]; [0, 0.05]: 231 / 7
[60, 65]; [0.05, 0.1]: 226 / 3
[60, 65]; [0.1, 0.15]: 277 / 6
[60, 65]; [0.15, 0.2]: 251 / 6
[60, 65]; [0.2, 0.25]: 241 / 8
[60, 65]; [0.25, 0.3]: 272 / 9
[60, 65]; [0.3, 0.35]: 294 / 4
[60, 65]; [0.35, 0.4]: 291 / 7
[60, 65]; [0.4, 0.45]: 270 / 7
[60, 65]; [0.45, 0.5]: 301 / 10
[60, 65]; [0.5, 0.55]: 306 / 10
[60, 65]; [0.55, 0.6]: 295 / 6
[60, 65]; [0.6, 0.65]: 307 / 12
[60, 65]; [0.65, 0.7]: 326 / 6
[60, 65]; [0.7, 0.75]: 397 / 14
[60, 65]; [0.75, 0.8]: 342 / 12
[60, 65]; [0.8, 0.85]: 149 / 7
[60, 65]; [0.85, 0.9]: 0 / 0

[65, 70]; [-0.9, -0.85]: 1 / 0
[65, 70]; [-0.85, -0.8]: 167 / 1
[65, 70]; [-0.8, -0.75]: 250 / 9
[65, 70]; [-0.75, -0.7]: 221 / 4
[65, 70]; [-0.7, -0.65]: 206 / 7
[65, 70]; [-0.65, -0.6]: 180 / 6
[65, 70]; [-0.6, -0.55]: 217 / 3
[65, 70]; [-0.55, -0.5]: 179 / 8
[65, 70]; [-0.5, -0.45]: 204 / 4
[65, 70]; [-0.45, -0.4]: 184 / 3
[65, 70]; [-0.4, -0.35]: 178 / 12
[65, 70]; [-0.35, -0.3]: 160 / 4
[65, 70]; [-0.3, -0.25]: 169 / 4
[65, 70]; [-0.25, -0.2]: 144 / 3
[65, 70]; [-0.2, -0.15]: 161 / 5
[65, 70]; [-0.15, -0.1]: 124 / 3
[65, 70]; [-0.1, -0.05]: 129 / 2
[65, 70]; [-0.05, 0]: 141 / 1
[65, 70]; [0, 0.05]: 140 / 4
[65, 70]; [0.05, 0.1]: 138 / 4
[65, 70]; [0.1, 0.15]: 125 / 7
[65, 70]; [0.15, 0.2]: 138 / 4
[65, 70]; [0.2, 0.25]: 159 / 1
[65, 70]; [0.25, 0.3]: 156 / 5
[65, 70]; [0.3, 0.35]: 172 / 2
[65, 70]; [0.35, 0.4]: 175 / 5
[65, 70]; [0.4, 0.45]: 146 / 4
[65, 70]; [0.45, 0.5]: 187 / 7
[65, 70]; [0.5, 0.55]: 214 / 5
[65, 70]; [0.55, 0.6]: 203 / 6
[65, 70]; [0.6, 0.65]: 196 / 3
[65, 70]; [0.65, 0.7]: 194 / 6
[65, 70]; [0.7, 0.75]: 209 / 6
[65, 70]; [0.75, 0.8]: 224 / 6
[65, 70]; [0.8, 0.85]: 169 / 5
[65, 70]; [0.85, 0.9]: 0 / 0

